#Phrase	أقسام الكلم	إعراب	نوع الفعل
أُنَظِّفُ الحِذَاءَ.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
يستمع النصيحة.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
يشعل المصابيح. 	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
يطبخ الطَعام.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
يُعلّم الأطفال.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
يُغلِق الأبواب.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
يفتح الشبابيك.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
يَفرش البسط.	فعل اسم	فعل مفعول	مضارع+مرفوع مفعول
لن أكذبَ.	حرف فعل 	ناصب فعل	ناصب مضارع+منصوب
أُسافرُ وَحْدي.	فعل اسم		
استيقظْنَ مبكرات.	فعل اسم		
نمْ مُبَكراً.	فعل اسم		
أحسنَنْ إلى الناس.	فعل حرف اسم	فعل جار مجرور	أمر جار مجرور
اُخْرُجَنَّ إلى الحقول.	فعل حرف اسم	فعل جار مجرور	أمر جار مجرور
تمهلْ في السَّيْر.	فعل حرف اسم	فعل جار مجرور	أمر جار مجرور
تمهلْ في سيرك.	فعل حرف اسم	فعل جار مجرور	أمر جار مجرور
تجنبَنَّ المزاح الكثير.	فعل اسم اسم	فعل مفعول صفة	أمر مفعول صفة
اجْتِنبْ مُرافقة الأَشرار.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
أجدْ مَضْغَ الطعامِ.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
أجدْنَ طبخ الطعام.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
اجمعوا ثمر البستان.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
احفظَنْ عهد الصديق.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
استمعْ نصح الطبيب.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
استمع نصح والدك.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
أغلقي باب الدار.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
افتحَا نوافذ الحجرة.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
اُهْزُزَا شجرة النبق.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
رتبي أثاث الحجرة.	فعل اسم اسم	فعل مفعول مضاف	أمر مفعول مضاف
لم يتغذَّ الغلام.	حرف فعل اسم	جازم فعل فاعل	جازم مضارع+مجزوم فاعل
لم يجرِ الماء.	حرف فعل اسم	جازم فعل فاعل	جازم مضارع+مجزوم فاعل
لم يصفُ الجو.	حرف فعل اسم	جازم فعل فاعل	جازم مضارع+مجزوم فاعل
لم يعدُ الحصان.	حرف فعل اسم	جازم فعل فاعل	جازم مضارع+مجزوم فاعل
لم يعوِ الذئب. 	حرف فعل اسم	جازم فعل فاعل	جازم مضارع+مجزوم فاعل
لا تنسَ وعدك.	حرف فعل اسم	جازم فعل مفعول	جازم مضارع+مجزوم مفعول
لم أخشَ البرد.	حرف فعل اسم	جازم فعل مفعول	جازم مضارع+مجزوم مفعول
لم أشتهِ الطعام.	حرف فعل اسم	جازم فعل مفعول	جازم مضارع+مجزوم مفعول
أحسنْتَ إلى الناس.	فعل حرف اسم	فعل جار مجرور	ماضي جار مجرور
استحموا في النهر.	فعل حرف اسم	فعل جار مجرور	ماضي جار مجرور
خرجْنَا إلى الحقول.	فعل حرف اسم	فعل جار مجرور	ماضي جار مجرور
صدقْتَ في قولك.	فعل حرف اسم	فعل جار مجرور	ماضي جار مجرور
عدلْتَ في حكمك.	فعل حرف اسم	فعل جار مجرور	ماضي جار مجرور
افتَرَس الذِّئْبُ كبْشاً.	فعل اسم اسم	فعل فاعل مفعول	ماضي فاعل مفعول
ركب إبراهيم الحصان. 	فعل اسم اسم	فعل فاعل مفعول	ماضي فاعل مفعول
شم عليٌّ وردة. 	فعل اسم اسم	فعل فاعل مفعول	ماضي فاعل مفعول
قطف محمد زهرة. 	فعل اسم اسم	فعل فاعل مفعول	ماضي فاعل مفعول
اشتريت قفلا للخزانةِ.	فعل اسم حرف+اسم	فعل مفعول جار+مجرور	ماضي مفعول جار+مجرور
قشرت الفاكهة بالسكينِ.	فعل اسم حرف+اسم	فعل مفعول جار+مجرور	ماضي مفعول جار+مجرور
استنشقْنَا الهواء النقي.	فعل اسم اسم	فعل مفعول صفة	ماضي مفعول صفة
تفتحت الوردةُ الجميلةُ.	فعل اسم اسم	فعل مفعول صفة	ماضي مفعول صفة
رأيت ميدانًا فسيحًا.	فعل اسم اسم	فعل مفعول صفة	ماضي مفعول صفة
قرأت كتابًا مفيدًا.	فعل اسم اسم	فعل مفعول صفة	ماضي مفعول صفة
قطفت الوردةَ الجميلةَ.	فعل اسم اسم	فعل مفعول صفة	ماضي مفعول صفة
جئت كي أتعلمَ.	فعل حرف فعل	فعل ناصب فعل	ماضي ناصب مضارع+منصوب
خرجت كي أتنزَّهَ.	فعل حرف فعل	فعل ناصب فعل	ماضي ناصب مضارع+منصوب
الأمهات أطعمْنَ أولادهن.	اسم فعل اسم	مبتدأ فعل مفعول	مبتدأ  ماضي مفعول
الفتيات رتبْنَ المائدة.	اسم فعل اسم	مبتدأ فعل مفعول	مبتدأ  ماضي مفعول
النبات تعلمْنَ الحياكة.	اسم فعل اسم	مبتدأ فعل مفعول	مبتدأ  ماضي مفعول
الْمِدادُ في الدَّوَاةِ. 	اسم حرف اسم	مبتدأ جار مجرور	مبتدأ جار مجرور
الْعُصْفُورُ لمْ يُغَرِّد.	اسم حرف فعل	مبتدأ جازم فعل	مبتدأ جازم مضارع+مجزوم
هذا كتابٌ مفيدٌ.	اسم اسم اسم	مبتدأ خبر صفة	مبتدأ خبر صفة
هذا ميدانٌ فسيحٌ.	اسم اسم اسم	مبتدأ خبر صفة	مبتدأ خبر صفة
أَخوكَ يَتَعرَّضُ لِلبَرْدِ.	اسم فعل حرف+اسم	مبتدأ فعل جار+مجرور	مبتدأ مضارع+مرفوع جار+مجرور
الْبُسْتانيُّ يَجْمَعُ الأَزهارَ. 	اسم فعل اسم	مبتدأ فعل مفعول	مبتدأ مضارع+مرفوع مفعول
الثَّعْلَبُ يأْكلُ الدَّجاجَ. 	اسم فعل اسم	مبتدأ فعل مفعول	مبتدأ مضارع+مرفوع مفعول
الثَّوْرُ يَحْرُثُ الأَرْضَ.	اسم فعل اسم	مبتدأ فعل مفعول	مبتدأ مضارع+مرفوع مفعول
الفَلاَّحُ يَحْلُبُ بقَرَتَهُ.	اسم فعل اسم	مبتدأ فعل مفعول	مبتدأ مضارع+مرفوع مفعول
عليٌّ يرْكَبُ الحِمَارَ. 	اسم فعل اسم	مبتدأ فعل مفعول	مبتدأ مضارع+مرفوع مفعول
الطَّائرُ فَوْقَ الشَّجرَةِ.	اسم حرف اسم	مبتدأ مكان مضاف	مبتدأ مكان مضاف
أُبطئ في المشي	فعل حرف اسم	فعل جار مجرور	مضارع+مرفوع جار مجرور
أَشْتَغِلُ في الحَدِيقة.	فعل حرف اسم	فعل جار مجرور	مضارع+مرفوع جار مجرور
أَقرأَ في الكتابِ.	فعل حرف اسم	فعل جار مجرور	مضارع+مرفوع جار مجرور
سأَمْتنعُ عَن المزَاحِ.	فعل حرف اسم	فعل جار مجرور	مضارع+مرفوع جار مجرور
نَمْشي في الحُقُول.	فعل حرف اسم	فعل جار مجرور	مضارع+مرفوع جار مجرور
سأُهدي إليك كتاباً.	فعل حرف+اسم اسم	فعل جار+ضمير مفعول	مضارع+مرفوع جار+مجرور مفعول
يتقاتل الجنود بالسيوفِ.	فعل اسم حرف+اسم	فعل فاعل جار+مجرور	مضارع+مرفوع فاعل جار+مجرور
يَلْعبُ الْغِلْمانُ بالكُرةِ. 	فعل اسم حرف+اسم	فعل فاعل جار+مجرور	مضارع+مرفوع فاعل جار+مجرور
ستلعبُ فِرقتُنا غَداً.	فعل اسم اسم	فعل فاعل زمان	مضارع+مرفوع فاعل زمان
تُنَظِّفُ البنْتُ ثِيَابَها.	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يبيعُ التَّاجِرُ الْبنَّ.	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يَتَسَلَّقُ الْغِلْمَانُ الْجَبَل. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يَجْني الفلاحُ القطنَ.	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يُحِبُّ الْوَلدُ الْبُرْتُقالَ. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يحصد الفلاح القمح. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يداعب إسماعيل القط. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يزْرَعُ الْفلاحُ الْقَصَبَ. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يَشْترِي التاجرُ الْقُطنَ. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يَشُدُّ الأَطفالُ الحبلَ.	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يَغْسِلُ الولدُ يَدَيْهِ.	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يَفْتَحُ محمدٌ الْبابَ. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يَقْرأُ سَعيدٌ الكتَابَ. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
يقطِفُ علِيٌّ الأَزهارَ. 	فعل اسم اسم	فعل فاعل مفعول	مضارع+مرفوع فاعل مفعول
سأَزْرَعُ نَخْلاً كَثيراً.	فعل اسم اسم	فعل مفعول صفة	مضارع+مرفوع مفعول صفة
يسرني أن تزورَنا.	فعل حرف فعل	فعل ناصب فعل	مضارع+مرفوع ناصب مضارع+منصوب
إذن تقيمَ عندنا	حرف فعل  حرف+اسم	ناصب فعل جار+ضمير	ناصب مضارع+منصوب جار+ضمير
إذن تربحَ تجارتك.	حرف فعل  اسم	ناصب فعل فاعل	ناصب مضارع+منصوب فاعل
إذن يفسدَ الهواء 	حرف فعل  اسم	ناصب فعل فاعل	ناصب مضارع+منصوب فاعل
لن يفوزَ الكسلان.	حرف فعل  اسم	ناصب فعل فاعل	ناصب مضارع+منصوب فاعل
ما أَكَلَ القِط.	حرف فعل اسم	ناصب فعل فاعل	ناصب مضارع+منصوب فاعل
ما انكسَرَ الزُّجاجُ.	حرف فعل اسم	ناصب فعل فاعل	ناصب مضارع+منصوب فاعل
ما سافرَ محمدٌ.	حرف فعل اسم	ناصب فعل فاعل	ناصب مضارع+منصوب فاعل
ما لَعِبَ الولدُ.	حرف فعل اسم	ناصب فعل فاعل	ناصب مضارع+منصوب فاعل
لن أضربَ القط.	حرف فعل  اسم	ناصب فعل مفعول	ناصب مضارع+منصوب مفعول
ليوقرْ صغيرُكُم كبيركُمْ.	حرف+فعل اسم اسم	ناصب+فعل فاعل مفعول	جازم+مضارع+مجزوم فاعل مفعول
ليفتحْ عَلِيٌّ النَّافِذَةَ.	حرف+فعل اسم اسم	ناصب+فعل فاعل مفعول	جازم+مضارع+مجزوم فاعل مفعول
لتجتنبْ كَثْرَةَ الْمِزَاح.	حرف+فعل اسم اسم	ناصب+فعل مفعول مضاف	جازم+مضارع+مجزوم مفعول مضاف
هل تحب السفر؟ 	حرف فعل اسم		
يأْكلُ عَلِيٌّ كثيراً.	فعل اسم اسم		
لا تشْرَبْ وأَنت تَعِبٌ.	حرف فعل حرف اسم		
ابْتَعِدْ عَنْ تَعْذِيبِ الحيَوانِ.	فعل حرف اسم اسم	فعل جار مجرور مضاف	أمر جار مجرور مضاف
امْتَنِعْ عَنْ إِهمالِ دُرُوسِكَ.	فعل حرف اسم اسم	فعل جار مجرور مضاف	أمر جار مجرور مضاف
#تحرَّ الصدق فيما تقول.	فعل اسم حرف اسم	فعل مفعول جار+مجرور فعل	أمر مفعول جار+مجرور مضارع+مرفوع
اغسل فمك قبل النوم.	فعل اسم حرف اسم	فعل مفعول زمان مضاف	أمر مفعول زمان مضاف
نظفْ أسنانك بعد الأكل.	فعل اسم حرف اسم	فعل مفعول زمان مضاف	أمر مفعول زمان مضاف
لا تدنُ من الكبش.	حرف فعل حرف اسم	جازم فعل جار مجرور	جازم مضارع+مجزوم جار مجرور
لا تسرع في السير.	حرف فعل حرف اسم	جازم فعل جار مجرور	جازم مضارع+مجزوم جار مجرور
لا تكثر من الضحك.	حرف فعل حرف اسم	جازم فعل جار مجرور	جازم مضارع+مجزوم جار مجرور
لم أزر البارحة أحداً.	حرف فعل اسم اسم	جازم فعل زمان مفعول	جازم مضارع+مجزوم زمان مفعول
لم يَحْضُرْ عَليٌّ الْبَارِحَةَ.	حرف فعل اسم اسم	جازم فعل فاعل زمان	جازم مضارع+مجزوم فاعل زمان
لم ينقطع نزول المطر.	حرف فعل  اسم اسم	جازم فعل فاعل مضاف	جازم مضارع+مجزوم فاعل مضاف
لم يحفظ محمد درسه.	حرف فعل  اسم اسم	جازم فعل فاعل مفعول	جازم مضارع+مجزوم فاعل مفعول
إِنْ تَضْرِبْ قِطّاً يَخْمِشك.	حرف فعل اسم فعل+اسم	جازم فعل مفعول فعل+مفعول	جازم مضارع+مجزوم مفعول مضارع+مجزوم+مفعول
لا تتَعوَّد كثرة المزاح.	حرف فعل اسم اسم	جازم فعل مفعول مضاف	جازم مضارع+مجزوم مفعول مضاف
ليتقنْ كلُّ إِنْسانٍ عَمَله.	حرف+فعل اسم اسم اسم	جازم+فعل فاعل مضاف مفعول	جازم+مضارع+مجزوم فاعل مضاف مفعول
جَرَيْتُ في ميدانٍ فسيحٍ.	فعل حرف اسم اسم	فعل جار مجرور صفة	ماضي جار مجرور صفة
نظرت إلى الوردةِ الجميلةِ.	فعل حرف اسم اسم	فعل جار مجرور صفة	ماضي جار مجرور صفة
نظرت في كتابٍ مفيدٍ.	فعل حرف اسم اسم	فعل جار مجرور صفة	ماضي جار مجرور صفة
دخل المجرم في السجنِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	ماضي فاعل جار مجرور
سارت الماشية إلى الحقلِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	ماضي فاعل جار مجرور
سعى الجيش إلى الميدانِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	ماضي فاعل جار مجرور
نزل المطر من السماءِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	ماضي فاعل جار مجرور
ذَهَبَ الرَّسُولُ ولمّا يعدْ.	فعل اسم حرف فعل	فعل فاعل جازم فعل	ماضي فاعل جازم مضارع+مجزوم
ضاعت عصاي ولم أجدها.	فعل اسم حرف فعل	فعل فاعل جازم فعل	ماضي فاعل جازم مضارع+مجزوم
طَابَ الزَّرْعُ ولمّا يحصدْ.	فعل اسم حرف فعل	فعل فاعل جازم فعل	ماضي فاعل جازم مضارع+مجزوم
غَامَتِ السَّماءُ ولَمْ تُمطِر.	فعل اسم حرف فعل	فعل فاعل جازم فعل	ماضي فاعل جازم مضارع+مجزوم
كَبَر الْغُلامُ وَلَمَّا يتهذبْ.	فعل اسم حرف فعل	فعل فاعل جازم فعل	ماضي فاعل جازم مضارع+مجزوم
نزل المطر ولم ينقطع.	فعل اسم حرف فعل	فعل فاعل جازم فعل	ماضي فاعل جازم مضارع+مجزوم
رأَيْتُ الطَّائِرَ في القَفَص.	فعل اسم حرف اسم	فعل مفعول جار مجرور	ماضي مفعول جار مجرور
الأَكلُ الكَثيرُ يُفْسِدُ الْمِعدَةَ.	اسم اسم فعل اسم	مبتدأ صفة فعل مفعول	مبتدأ صفة مضارع+مرفوع مفعول
التمر يتَساقطُ عَلى الأَرضِ. 	اسم فعل حرف اسم	مبتدأ فعل جار مجرور	مبتدأ مضارع+مرفوع جار مجرور
الحَديدُ يَذوبُ في النار. 	اسم فعل حرف اسم	مبتدأ فعل جار مجرور	مبتدأ مضارع+مرفوع جار مجرور
العُصْفورُ يُغَرِّدُ عَلَى الشجرَةِ.	اسم فعل حرف اسم	مبتدأ فعل جار مجرور	مبتدأ مضارع+مرفوع جار مجرور
القِطارُ يَتَأَخَّرُ عَنْ مَوعِدِهِ.	اسم فعل حرف اسم	مبتدأ فعل جار مجرور	مبتدأ مضارع+مرفوع جار مجرور
الْكلْبُ يَنامُ في البستان. 	اسم فعل حرف اسم	مبتدأ فعل جار مجرور	مبتدأ مضارع+مرفوع جار مجرور
المذْنِبُ يَعُودُ إلى ذَنبِهِ.	اسم فعل حرف اسم	مبتدأ فعل جار مجرور	مبتدأ مضارع+مرفوع جار مجرور
فَريدٌ يجْرِي في الشارع. 	اسم فعل حرف اسم	مبتدأ فعل جار مجرور	مبتدأ مضارع+مرفوع جار مجرور
محمدٌ يتأَخَّرُ في الصَّباح.	اسم فعل حرف اسم	مبتدأ فعل جار مجرور	مبتدأ مضارع+مرفوع جار مجرور
تجري السفينة على الماء. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
تسير السفن في الْبحارِ. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
تصنع الأحذية من الجِلْدِ. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يأتي السمك من البحرِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يَحْضُرُ محمدٌ معَ أَخيهِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يَدْخُلُ الهواءُ في الحجرة. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يذهب الخوف عن الطفلِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يَذْهَبُ العُمَّالُ إلى المصْنَع. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يَسْبَحُ الأَوْلادُ في البحر. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يسطع النور في الحجرة. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يسقط الثمر على الأرضِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يطفو الخشب على الماءِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يعيش السمك في الماء. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
يكثر النخيل في مصر	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
ينبح الكلب في البستانِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
ينزل الجندي عن الحصانِ.	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
ينزل المطر من السماء. 	فعل اسم حرف اسم	فعل فاعل جار مجرور	مضارع+مرفوع فاعل جار مجرور
سَتُمْطرُ السَّماءُ بَعْدَ قليل.	فعل اسم حرف اسم	فعل فاعل زمان مضاف	مضارع+مرفوع فاعل زمان مضاف
يَقْطَعُ النجَّارُ الخَشَبَ بالْمِنشَار.	فعل اسم اسم حرف+اسم	فعل فاعل مفعول جار+مجرور	مضارع+مرفوع فاعل مفعول جار+مجرور
يَشْتَدُّ الْبَرْدُ فَوْقَ الجبالِ. 	فعل اسم حرف اسم	فعل فاعل مكان مضاف	مضارع+مرفوع فاعل مكان مضاف
أُضَيِّعُ وقتاً في اللعبِ.	فعل اسم حرف اسم	فعل مفعول جار مجرور	مضارع+مرفوع مفعول جار مجرور
أتعلم كي أخدمَ الوطن.	فعل حرف فعل اسم	فعل ناصب فعل مفعول	مضارع+مرفوع ناصب مضارع+منصوب مفعول
أرجو أن يعتدلَ الجو.	فعل حرف فعل اسم	فعل ناصب فعل مفعول	مضارع+مرفوع ناصب مضارع+منصوب مفعول
أريد أن أحسنَ السباحة.	فعل حرف فعل اسم	فعل ناصب فعل مفعول	مضارع+مرفوع ناصب مضارع+منصوب مفعول
لَنْ يبيعَ أَبي حَصَانَه.	حرف فعل اسم اسم	ناصب فعل فاعل مفعول	ناصب مضارع+منصوب فاعل مفعول
ما حَرَثَ الْفلاَّحُ أَرضَه.	حرف فعل اسم اسم	ناصب فعل فاعل مفعول	ناصب مضارع+منصوب فاعل مفعول
ألقِِ الشبكة يا صياد.			
عليك أَنْ تَسْمَعَ النَّصِيحَة.			
لا تأكل وأنت شبعان.			
مَشَيْتُ كثيراً وَلَمْ أَتْعَب.	فعل اسم حرف فعل		
امْتَنِعْ عن شرب الماءِ الْكَدرِ.	فعل حرف اسم اسم اسم	فعل جار مجرور مضاف صفة	أمر جار مجرور مضاف صفة
لم نذهب إلى الحديقة أمس.	حرف فعل حرف اسم اسم	جازم فعل جار مجرور زمان	جازم مضارع+مجزوم جار مجرور زمان
لم يحضر والدي من السفر.	حرف فعل اسم حرف اسم	جازم فعل فاعل جار مجرور	جازم مضارع+مجزوم فاعل جار مجرور
لم يقبض أحد على اللص.	حرف فعل اسم حرف اسم	جازم فعل فاعل جار مجرور	جازم مضارع+مجزوم فاعل جار مجرور
إن يسافر أخوك تسافر معه.	حرف فعل اسم فعل حرف+اسم	ناصب فعل فاعل فعل جار+مجرور	جازم مضارع+مجزوم فاعل مضارع+مجزوم جار+مجرور
بَنَى الأمير قصرا ولم يسكنْهُ.	فعل اسم اسم حرف+حرف فعل+اسم	فعل فاعل مفعول عطف+جازم فعل+مفعول	ماضي فاعل مفعول عطف+جازم مضارع+مجزوم+مفعول
هَزَزتُ الشجرةَ كي يسقطَ ثَمَرُها.	فعل اسم حرف فعل اسم	فعل مفعول ناصب فعل مفعول	ماضي مفعول ناصب مضارع+منصوب مفعول
الكلب يَحْرُسُ المنازلَ و المزارع.	اسم فعل اسم حرف اسم	مبتدأ فعل مفعول عطف معطوف	مبتدأ مضارع+مرفوع مفعول عطف معطوف
يَسْتفِيدُ الإِنْسَان من قراءة الكتب	فعل اسم حرف اسم اسم	فعل فاعل جار مجرور مضاف	مضارع+مرفوع فاعل جار مجرور مضاف
يشتغلُ الإنسانُ بالنهار وينامُ باليل.	فعل اسم حرف+اسم حرف+فعل حرف+اسم	فعل فاعل جار+مجرور عطف+فعل جار+مجرور	مضارع+مرفوع فاعل جار+مجرور عطف+مضارع+مرفوع جار+مجرور
